,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
1241,Belarus,2023-01-05,3.2,-3.6,1.3,BLR,Europe
1242,Belgium,2023-06-12,28.1,16.1,22.8,BEL,Europe
1243,Denmark,2023-01-21,3.4,-0.5,1.1,DNK,Europe
1244,Austria,2023-03-31,18.3,8.6,12.7,AUT,Europe
1245,Hungary,2023-04-29,18.6,10.1,13.8,HUN,Europe
1246,Germany,2023-07-28,22.8,15.3,18.9,DEU,Europe
1247,Croatia,2022-11-01,23.2,11.2,15.4,HRV,Europe
1248,Bulgaria,2023-04-18,10.1,6.7,8.2,BGR,Europe
1249,France,2023-03-29,20.1,8.8,13.7,FRA,Europe
1250,Belarus,2023-04-01,9.1,2.7,6.0,BLR,Europe
1251,Hungary,2023-04-24,16.6,11.6,13.2,HUN,Europe
1252,Hungary,2022-10-15,19.3,9.9,14.6,HUN,Europe
1253,Belgium,2023-06-11,28.4,16.6,23.2,BEL,Europe
1254,Ireland,2022-10-16,14.4,7.5,11.3,IRL,Europe
1255,Hungary,2023-06-15,24.7,13.4,19.6,HUN,Europe
1256,Luxembourg,2023-06-04,22.3,9.1,16.1,LUX,Europe
1257,Bosnia and Herzegovina,2023-03-15,4.6,-1.6,1.9,BIH,Europe
1258,Netherlands,2023-04-08,13.1,5.9,8.9,NLD,Europe
1259,Greece,2022-12-25,18.1,7.8,12.0,GRC,Europe
1260,Bulgaria,2023-07-10,27.5,15.7,21.2,BGR,Europe
1261,Greece,2023-07-07,37.6,24.4,30.6,GRC,Europe
1262,Bosnia and Herzegovina,2023-03-25,15.2,6.3,10.0,BIH,Europe
1263,Austria,2022-10-21,16.0,9.1,11.8,AUT,Europe
1264,Latvia,2023-05-23,20.7,10.1,16.1,LVA,Europe
1265,Ireland,2022-11-08,12.1,10.4,11.3,IRL,Europe
1266,Serbia,2023-07-12,35.7,20.5,28.3,SRB,Europe
1267,Serbia,2022-09-30,28.0,16.4,21.0,SRB,Europe
1268,Montenegro,2023-09-13,29.0,16.5,22.2,MNE,Europe
1269,Hungary,2023-03-14,16.0,7.2,11.2,HUN,Europe
1270,Latvia,2023-09-08,21.1,11.4,16.1,LVA,Europe
1271,Monaco,2023-02-14,12.9,8.1,10.6,MCO,Europe
1272,Lithuania,2023-07-08,22.8,10.3,17.1,LTU,Europe
1273,Germany,2023-08-03,22.4,16.2,19.3,DEU,Europe
1274,Finland,2023-02-07,2.4,-4.9,0.1,FIN,Europe
1275,Estonia,2022-12-13,-4.1,-9.5,-8.0,EST,Europe
1276,Lithuania,2022-10-08,16.5,7.6,11.4,LTU,Europe
1277,"Moldova, Republic of",2022-09-30,24.8,14.2,18.9,MDA,Europe
1278,Czechia,2023-01-14,7.1,4.0,5.5,CZE,Europe
1279,Serbia,2023-01-16,9.8,4.3,7.2,SRB,Europe
1280,Albania,2023-05-23,23.7,12.6,18.1,ALB,Europe
1281,Austria,2023-05-23,25.6,13.3,18.5,AUT,Europe
1282,Slovakia,2023-07-18,30.9,19.9,25.3,SVK,Europe
1283,Germany,2022-10-07,18.8,7.2,12.6,DEU,Europe
1284,Albania,2023-07-04,30.0,19.9,24.9,ALB,Europe
